RingNR;Year;CaptureWeight;CaptureDate;CaptureArea;Age;Season;MovementDistance;MigrStatus
4281433;2019;610;18.03.2019;Guslia;ad;WS;1038.858911;0
4281437;2019;600;26.03.2019;Guslia;juv;WS;987.1389808;0
4281457;2018;620;05.03.2018;Lifjellet;ad;WS;7615.454477;1
4281461;2018;610;06.03.2018;Lifjellet;ad;WS;19168.87473;1
4281461;2019;610;06.03.2018;Lifjellet;ad;WS;129.8178724;0
4281466;2018;670;06.03.2018;Lifjellet;juv;WS;898.9667062;0
4281467;2018;670;06.03.2018;Lifjellet;ad;WS;14747.63354;1
4281479;2018;550;05.03.2018;Lifjellet;ad;WS;6994.128001;1
4281481;2018;530;06.03.2018;Lifjellet;ad;WS;23291.04697;1
4281483;2018;600;06.03.2018;Lifjellet;ad;WS;10473.89717;1
4281485;2018;610;06.03.2018;Lifjellet;juv;WS;15144.09126;1
4281491;2018;660;09.03.2018;Lifjellet;ad;WS;6594.373671;1
4281492;2019;580;07.03.2019;Lifjellet;juv;WS;2679.688323;1
4281493;2019;580;07.03.2019;Lifjellet;ad;WS;19976.32441;1
4281495;2019;550;06.03.2019;Lifjellet;ad;WS;1321.30428;1
4281497;2019;580;05.03.2019;Lifjellet;juv;WS;19755.08182;1
