"NestName","NestUUID","RingNR","organismID","Year","N_egg","Nest_Status","BOL","Weigth","Area","Age","Nest_state"
"4281461_2018","ff6b28e5-e5e2-11e9-adb9-870b0fcd359e",4281461,"94ccdbea-e507-11e9-8b1c-61bf5086d96e",2018,10,"hatched",1,610,"Lifjellet","ad",1
"4281491_2018","ff6b5004-e5e2-11e9-adb9-870b0fcd359e",4281491,"94c9369d-e507-11e9-8b1c-61bf5086d96e",2018,10,"hatched",1,660,"Lifjellet","ad",1
"4105429_2018","ff6b5005-e5e2-11e9-adb9-870b0fcd359e",4105429,"94cba421-e507-11e9-8b1c-61bf5086d96e",2018,8,"predation",1,530,"Lifjellet","ad",0
"4281457_2018","ff6b5006-e5e2-11e9-adb9-870b0fcd359e",4281457,"94cae160-e507-11e9-8b1c-61bf5086d96e",2018,11,"abondoned",1,620,"Lifjellet","ad",0
"4281479_2018","ff6b5007-e5e2-11e9-adb9-870b0fcd359e",4281479,"94cb085b-e507-11e9-8b1c-61bf5086d96e",2018,12,"hatched",1,550,"Lifjellet","ad",1
"4281466_2018","ff6b5008-e5e2-11e9-adb9-870b0fcd359e",4281466,"94c9840f-e507-11e9-8b1c-61bf5086d96e",2018,12,"hatched",0,670,"Lifjellet","juv",1
"4281335_2018","ff6b76ec-e5e2-11e9-adb9-870b0fcd359e",4281335,"94ccdbed-e507-11e9-8b1c-61bf5086d96e",2018,11,"hatched",1,590,"Guslia","ad",1
"4281325_2018","ff6b76ed-e5e2-11e9-adb9-870b0fcd359e",4281325,"94cc1a23-e507-11e9-8b1c-61bf5086d96e",2018,12,"predation",1,585,"Guslia","ad",0
"4281467_2018","ff6b76ef-e5e2-11e9-adb9-870b0fcd359e",4281467,"94ca4576-e507-11e9-8b1c-61bf5086d96e",2018,10,"hatched",1,670,"Lifjellet","ad",1
"4281483_2018","ff6b76f0-e5e2-11e9-adb9-870b0fcd359e",4281483,"94caba61-e507-11e9-8b1c-61bf5086d96e",2018,NA,"hatched",1,600,"Lifjellet","ad",1
"4281345_2018","ff6b76f1-e5e2-11e9-adb9-870b0fcd359e",4281345,"94cc4088-e507-11e9-8b1c-61bf5086d96e",2018,9,"abondoned_after_SetUp",1,600,"Lifjellet","ad",0
"4281481_2018","ff6b76f2-e5e2-11e9-adb9-870b0fcd359e",4281481,"94cc66f9-e507-11e9-8b1c-61bf5086d96e",2018,7,"hatched",1,530,"Lifjellet","ad",1
"4281400_2019","ff6b9dcc-e5e2-11e9-adb9-870b0fcd359e",4281400,"94ccdbec-e507-11e9-8b1c-61bf5086d96e",2019,10,"hatched",1,580,"Lifjellet","juv",1
"4281437_2019","ff6b9dcd-e5e2-11e9-adb9-870b0fcd359e",4281437,"94caba5f-e507-11e9-8b1c-61bf5086d96e",2019,7,"hatched",0,600,"Guslia","juv",1
