RingNR,Season2,dist,BOL,Year,Weigth,Date,Area,Age,dist2,Id,vekt
4281327,WS,783.2962147,0,2019,555,08.03.2017,Guslia,ad,0.783296215,4281327,5.55
4281330,WS,489.3019518,0,2017,570,14.03.2017,Guslia,juv,0.489301952,4281330,5.7
4281335,WS,8334.149893,1,2017,590,15.03.2017,Guslia,juv,8.334149893,4281335,5.9
4281335,SW,7333.696393,1,2018,590,15.03.2017,Guslia,ad,7.333696393,4281335,5.9
4281335,WS,9140.419039,1,2018,590,15.03.2017,Guslia,ad,9.140419039,4281335,5.9
4281337,WS,8549.864619,1,2017,650,16.03.2017,Guslia,ad,8.549864619,4281337,6.5
4281341,WS,997.6773582,0,2017,610,16.03.2017,Lifjellet,juv,0.997677358,4281341,6.1
4281343,WS,1845.140916,1,2017,600,20.03.2017,Lifjellet,juv,1.845140916,4281343,6
4281344,WS,2437.125561,1,2017,590,20.03.2017,Lifjellet,juv,2.437125561,4281344,5.9
4281345,WS,17771.7353,1,2018,600,20.03.2017,Lifjellet,ad,17.7717353,4281345,6
4281347,WS,1595.299345,1,2017,550,21.03.2017,Lifjellet,juv,1.595299345,4281347,5.5
4281348,WS,344.9645715,0,2017,530,21.03.2017,Lifjellet,ad,0.344964571,4281348,5.3
4281380,WS,12145.16621,1,2019,670,20.03.2019,Guslia,ad,12.14516621,4281380,6.7
4281381,WS,16086.72929,1,2019,610,20.03.2019,Guslia,juv,16.08672929,4281381,6.1
4281385,WS,19806.57203,1,2019,600,27.03.2019,Guslia,juv,19.80657203,4281385,6
4281398,WS,947.3445163,0,2019,640,07.03.2019,Lifjellet,juv,0.947344516,4281398,6.4
4281399,WS,13905.73516,1,2019,520,07.03.2019,Lifjellet,juv,13.90573516,4281399,5.2
4281400,WS,1891.903803,1,2019,580,06.03.2019,Lifjellet,juv,1.891903803,4281400,5.8
4281411,WS,6466.771082,1,2019,580,07.03.2019,Lifjellet,juv,6.466771082,4281411,5.8
4281414,WS,10785.12352,1,2019,590,07.03.2019,Lifjellet,ad,10.78512352,4281414,5.9
4281415,WS,4477.139327,1,2019,620,08.03.2019,Lifjellet,ad,4.477139327,4281415,6.2
4281416,WS,8261.321638,1,2019,530,20.03.2019,Guslia,juv,8.261321638,4281416,5.3
4281417,WS,46515.15196,1,2019,600,20.03.2019,Guslia,ad,46.51515196,4281417,6
4281429,WS,1865.927711,1,2019,560,26.03.2019,Guslia,ad,1.865927711,4281429,5.6
4281433,WS,1038.858911,0,2019,610,18.03.2019,Guslia,ad,1.038858911,4281433,6.1
4281437,WS,987.1389808,0,2019,600,26.03.2019,Guslia,juv,0.987138981,4281437,6
4281457,WS,7615.454477,1,2018,620,05.03.2018,Lifjellet,ad,7.615454477,4281457,6.2
4281461,WS,19168.87473,1,2018,610,06.03.2018,Lifjellet,ad,19.16887473,4281461,6.1
4281461,WS,129.8178724,0,2019,610,06.03.2018,Lifjellet,ad,0.129817872,4281461,6.1
4281466,WS,898.9667062,0,2018,670,06.03.2018,Lifjellet,juv,0.898966706,4281466,6.7
4281467,WS,14747.63354,1,2018,670,06.03.2018,Lifjellet,ad,14.74763354,4281467,6.7
4281479,WS,6994.128001,1,2018,550,05.03.2018,Lifjellet,ad,6.994128001,4281479,5.5
4281481,WS,23291.04697,1,2018,530,06.03.2018,Lifjellet,ad,23.29104697,4281481,5.3
4281483,WS,10473.89717,1,2018,600,06.03.2018,Lifjellet,ad,10.47389717,4281483,6
4281485,WS,15144.09126,1,2018,610,06.03.2018,Lifjellet,juv,15.14409126,4281485,6.1
4281491,WS,6594.373671,1,2018,660,09.03.2018,Lifjellet,ad,6.594373671,4281491,6.6
4281492,WS,2679.688323,1,2019,580,07.03.2019,Lifjellet,juv,2.679688323,4281492,5.8
4281493,WS,19976.32441,1,2019,580,07.03.2019,Lifjellet,ad,19.97632441,4281493,5.8
4281495,WS,1321.30428,1,2019,550,06.03.2019,Lifjellet,ad,1.32130428,4281495,5.5
4281497,WS,19755.08182,1,2019,580,05.03.2019,Lifjellet,juv,19.75508182,4281497,5.8
